feature_set,feature,position
pre_lineup_compact_40,home,1
pre_lineup_compact_40,guard,2
pre_lineup_compact_40,forward,3
pre_lineup_compact_40,center,4
pre_lineup_compact_40,years_since_draft,5
pre_lineup_compact_40,days_since_last_game,6
pre_lineup_compact_40,is_back_to_back,7
pre_lineup_compact_40,fantasy_points_roll_5,8
pre_lineup_compact_40,fantasy_points_roll_10,9
pre_lineup_compact_40,fantasy_points_roll_30,10
pre_lineup_compact_40,fantasy_points_momentum_5_vs_10,11
pre_lineup_compact_40,fantasy_points_momentum_10_vs_30,12
pre_lineup_compact_40,numMinutes_roll_5,13
pre_lineup_compact_40,numMinutes_roll_10,14
pre_lineup_compact_40,numMinutes_roll_30,15
pre_lineup_compact_40,current_is_starter_roll_10,16
pre_lineup_compact_40,starter_minutes_roll_5,17
pre_lineup_compact_40,starter_minutes_roll_10,18
pre_lineup_compact_40,starter_minutes_roll_30,19
pre_lineup_compact_40,starter_minutes_share_roll_10,20
pre_lineup_compact_40,usagePercentage_roll_5,21
pre_lineup_compact_40,usagePercentage_roll_10,22
pre_lineup_compact_40,usagePercentage_roll_30,23
pre_lineup_compact_40,usagePercentage_momentum_5_vs_10,24
pre_lineup_compact_40,trueShootingPercentage_roll_10,25
pre_lineup_compact_40,playerImpactEstimate_roll_10,26
pre_lineup_compact_40,points_roll_10,27
pre_lineup_compact_40,reboundsTotal_roll_10,28
pre_lineup_compact_40,assists_roll_10,29
pre_lineup_compact_40,turnovers_roll_10,30
pre_lineup_compact_40,team_pace_roll_10,31
pre_lineup_compact_40,team_offensiveRating_roll_10,32
pre_lineup_compact_40,team_assists_roll_10,33
pre_lineup_compact_40,team_turnovers_roll_10,34
pre_lineup_compact_40,opp_pace_roll_10,35
pre_lineup_compact_40,opp_defensiveRating_roll_10,36
pre_lineup_compact_40,opp_points_allowed_roll_10,37
pre_lineup_compact_40,opp_fp_allowed_roll_10,38
pre_lineup_compact_40,opp_pos_fp_allowed_per_player_roll_30,39
pre_lineup_compact_40,pos_opp_difficulty_roll_30,40
pre_lineup_player_team_opp,home,1
pre_lineup_player_team_opp,heightInches,2
pre_lineup_player_team_opp,bodyWeightLbs,3
pre_lineup_player_team_opp,guard,4
pre_lineup_player_team_opp,forward,5
pre_lineup_player_team_opp,center,6
pre_lineup_player_team_opp,years_since_draft,7
pre_lineup_player_team_opp,days_since_last_game,8
pre_lineup_player_team_opp,is_back_to_back,9
pre_lineup_player_team_opp,fantasy_points_roll_3,10
pre_lineup_player_team_opp,fantasy_points_roll_5,11
pre_lineup_player_team_opp,fantasy_points_roll_10,12
pre_lineup_player_team_opp,fantasy_points_roll_30,13
pre_lineup_player_team_opp,fantasy_points_std_30,14
pre_lineup_player_team_opp,fantasy_points_momentum_5_vs_10,15
pre_lineup_player_team_opp,fantasy_points_momentum_3_vs_10,16
pre_lineup_player_team_opp,fantasy_points_momentum_10_vs_30,17
pre_lineup_player_team_opp,fantasy_points_z_5_vs_30,18
pre_lineup_player_team_opp,fantasy_points_z_10_vs_30,19
pre_lineup_player_team_opp,current_is_starter_roll_5,20
pre_lineup_player_team_opp,current_is_starter_roll_10,21
pre_lineup_player_team_opp,current_is_starter_roll_30,22
pre_lineup_player_team_opp,current_is_starter_momentum_5_vs_10,23
pre_lineup_player_team_opp,current_is_starter_momentum_10_vs_30,24
pre_lineup_player_team_opp,starter_minutes_roll_3,25
pre_lineup_player_team_opp,starter_minutes_roll_5,26
pre_lineup_player_team_opp,starter_minutes_roll_10,27
pre_lineup_player_team_opp,starter_minutes_roll_30,28
pre_lineup_player_team_opp,starter_minutes_std_30,29
pre_lineup_player_team_opp,starter_minutes_momentum_5_vs_10,30
pre_lineup_player_team_opp,starter_minutes_momentum_3_vs_10,31
pre_lineup_player_team_opp,starter_minutes_momentum_10_vs_30,32
pre_lineup_player_team_opp,starter_minutes_z_5_vs_30,33
pre_lineup_player_team_opp,starter_minutes_z_10_vs_30,34
pre_lineup_player_team_opp,bench_minutes_roll_5,35
pre_lineup_player_team_opp,bench_minutes_roll_10,36
pre_lineup_player_team_opp,bench_minutes_roll_30,37
pre_lineup_player_team_opp,bench_minutes_std_30,38
pre_lineup_player_team_opp,bench_minutes_momentum_5_vs_10,39
pre_lineup_player_team_opp,bench_minutes_momentum_10_vs_30,40
pre_lineup_player_team_opp,bench_minutes_z_5_vs_30,41
pre_lineup_player_team_opp,bench_minutes_z_10_vs_30,42
pre_lineup_player_team_opp,numMinutes_roll_3,43
pre_lineup_player_team_opp,numMinutes_roll_5,44
pre_lineup_player_team_opp,numMinutes_roll_10,45
pre_lineup_player_team_opp,numMinutes_roll_30,46
pre_lineup_player_team_opp,numMinutes_std_30,47
pre_lineup_player_team_opp,numMinutes_momentum_5_vs_10,48
pre_lineup_player_team_opp,numMinutes_momentum_3_vs_10,49
pre_lineup_player_team_opp,numMinutes_momentum_10_vs_30,50
pre_lineup_player_team_opp,numMinutes_z_5_vs_30,51
pre_lineup_player_team_opp,numMinutes_z_10_vs_30,52
pre_lineup_player_team_opp,points_roll_5,53
pre_lineup_player_team_opp,points_roll_10,54
pre_lineup_player_team_opp,points_roll_30,55
pre_lineup_player_team_opp,points_std_30,56
pre_lineup_player_team_opp,points_momentum_5_vs_10,57
pre_lineup_player_team_opp,points_momentum_10_vs_30,58
pre_lineup_player_team_opp,points_z_5_vs_30,59
pre_lineup_player_team_opp,points_z_10_vs_30,60
pre_lineup_player_team_opp,reboundsTotal_roll_5,61
pre_lineup_player_team_opp,reboundsTotal_roll_10,62
pre_lineup_player_team_opp,reboundsTotal_roll_30,63
pre_lineup_player_team_opp,reboundsTotal_std_30,64
pre_lineup_player_team_opp,reboundsTotal_momentum_5_vs_10,65
pre_lineup_player_team_opp,reboundsTotal_momentum_10_vs_30,66
pre_lineup_player_team_opp,reboundsTotal_z_5_vs_30,67
pre_lineup_player_team_opp,reboundsTotal_z_10_vs_30,68
pre_lineup_player_team_opp,assists_roll_5,69
pre_lineup_player_team_opp,assists_roll_10,70
pre_lineup_player_team_opp,assists_roll_30,71
pre_lineup_player_team_opp,assists_std_30,72
pre_lineup_player_team_opp,assists_momentum_5_vs_10,73
pre_lineup_player_team_opp,assists_momentum_10_vs_30,74
pre_lineup_player_team_opp,assists_z_5_vs_30,75
pre_lineup_player_team_opp,assists_z_10_vs_30,76
pre_lineup_player_team_opp,steals_roll_5,77
pre_lineup_player_team_opp,steals_roll_10,78
pre_lineup_player_team_opp,steals_roll_30,79
pre_lineup_player_team_opp,steals_std_30,80
pre_lineup_player_team_opp,steals_momentum_5_vs_10,81
pre_lineup_player_team_opp,steals_momentum_10_vs_30,82
pre_lineup_player_team_opp,blocks_roll_5,83
pre_lineup_player_team_opp,blocks_roll_10,84
pre_lineup_player_team_opp,blocks_roll_30,85
pre_lineup_player_team_opp,blocks_std_30,86
pre_lineup_player_team_opp,blocks_momentum_5_vs_10,87
pre_lineup_player_team_opp,blocks_momentum_10_vs_30,88
pre_lineup_player_team_opp,turnovers_roll_5,89
pre_lineup_player_team_opp,turnovers_roll_10,90
pre_lineup_player_team_opp,turnovers_roll_30,91
pre_lineup_player_team_opp,turnovers_std_30,92
pre_lineup_player_team_opp,turnovers_momentum_5_vs_10,93
pre_lineup_player_team_opp,turnovers_momentum_10_vs_30,94
pre_lineup_player_team_opp,usagePercentage_roll_3,95
pre_lineup_player_team_opp,usagePercentage_roll_5,96
pre_lineup_player_team_opp,usagePercentage_roll_10,97
pre_lineup_player_team_opp,usagePercentage_roll_30,98
pre_lineup_player_team_opp,usagePercentage_std_30,99
pre_lineup_player_team_opp,usagePercentage_momentum_5_vs_10,100
pre_lineup_player_team_opp,usagePercentage_momentum_3_vs_10,101
pre_lineup_player_team_opp,usagePercentage_momentum_10_vs_30,102
pre_lineup_player_team_opp,usagePercentage_z_5_vs_30,103
pre_lineup_player_team_opp,usagePercentage_z_10_vs_30,104
pre_lineup_player_team_opp,trueShootingPercentage_roll_5,105
pre_lineup_player_team_opp,trueShootingPercentage_roll_10,106
pre_lineup_player_team_opp,trueShootingPercentage_roll_30,107
pre_lineup_player_team_opp,trueShootingPercentage_std_30,108
pre_lineup_player_team_opp,trueShootingPercentage_momentum_5_vs_10,109
pre_lineup_player_team_opp,trueShootingPercentage_momentum_10_vs_30,110
pre_lineup_player_team_opp,trueShootingPercentage_z_5_vs_30,111
pre_lineup_player_team_opp,trueShootingPercentage_z_10_vs_30,112
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_roll_5,113
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_roll_10,114
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_roll_30,115
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_std_30,116
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_momentum_5_vs_10,117
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_momentum_10_vs_30,118
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_z_5_vs_30,119
pre_lineup_player_team_opp,effectiveFieldGoalPercentage_z_10_vs_30,120
pre_lineup_player_team_opp,freeThrowsPercentage_roll_5,121
pre_lineup_player_team_opp,freeThrowsPercentage_roll_10,122
pre_lineup_player_team_opp,freeThrowsPercentage_roll_30,123
pre_lineup_player_team_opp,freeThrowsPercentage_std_30,124
pre_lineup_player_team_opp,freeThrowsPercentage_momentum_5_vs_10,125
pre_lineup_player_team_opp,freeThrowsPercentage_momentum_10_vs_30,126
pre_lineup_player_team_opp,playerImpactEstimate_roll_5,127
pre_lineup_player_team_opp,playerImpactEstimate_roll_10,128
pre_lineup_player_team_opp,playerImpactEstimate_roll_30,129
pre_lineup_player_team_opp,playerImpactEstimate_std_30,130
pre_lineup_player_team_opp,playerImpactEstimate_momentum_5_vs_10,131
pre_lineup_player_team_opp,playerImpactEstimate_momentum_10_vs_30,132
pre_lineup_player_team_opp,playerImpactEstimate_z_5_vs_30,133
pre_lineup_player_team_opp,playerImpactEstimate_z_10_vs_30,134
pre_lineup_player_team_opp,offensiveRating_roll_5,135
pre_lineup_player_team_opp,offensiveRating_roll_10,136
pre_lineup_player_team_opp,offensiveRating_roll_30,137
pre_lineup_player_team_opp,offensiveRating_std_30,138
pre_lineup_player_team_opp,offensiveRating_momentum_5_vs_10,139
pre_lineup_player_team_opp,offensiveRating_momentum_10_vs_30,140
pre_lineup_player_team_opp,offensiveRating_z_5_vs_30,141
pre_lineup_player_team_opp,offensiveRating_z_10_vs_30,142
pre_lineup_player_team_opp,defensiveRating_roll_5,143
pre_lineup_player_team_opp,defensiveRating_roll_10,144
pre_lineup_player_team_opp,defensiveRating_roll_30,145
pre_lineup_player_team_opp,defensiveRating_std_30,146
pre_lineup_player_team_opp,defensiveRating_momentum_5_vs_10,147
pre_lineup_player_team_opp,defensiveRating_momentum_10_vs_30,148
pre_lineup_player_team_opp,defensiveRating_z_5_vs_30,149
pre_lineup_player_team_opp,defensiveRating_z_10_vs_30,150
pre_lineup_player_team_opp,pace_roll_5,151
