feature_set,model,n_features,train_rows,validation_rows,fit_predict_seconds,mae,rmse,r2,mean_error,median_absolute_error,fp_bucket_40-50_mae,fp_bucket_50+_mae,minutes_bucket_35+_mae,starter_label_Starter_mae,mae_delta_vs_compact_hgb,mae_delta_vs_broad_hgb
pre_lineup_player_team_opp,hist_gradient_boosting,486,76937,26162,49.287,7.731508771004425,9.90076184766369,0.5591423689619857,0.16318592404231144,6.3361685195703075,10.6362157867578,16.671222659599525,10.003414462799853,8.738364799556829,-0.05172954230147919,0.0
pre_lineup_player_team_opp,ridge,486,76937,26162,24.775,7.747664265330848,9.91228551756075,0.5581155279140666,-0.018881828160305907,6.387146606912637,10.50957540574764,16.394981801866493,9.84330335378625,8.699124920368956,-0.03557404797505548,0.016155494326423714
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,45,76937,26162,3.259,7.772097943229071,9.930821689227153,0.5564613170986308,0.04815731199941898,6.411085450387812,10.557945681651177,16.709016867753235,9.970471515555452,8.737233820567317,-0.01114037007683244,0.04058917222464675
pre_lineup_compact_40_plus_role,hist_gradient_boosting,45,76937,26162,3.294,7.7724100931926605,9.934750930287477,0.5561102655476953,0.04287639841893656,6.418030401059156,10.57548881860243,16.662648357101123,9.958546921675387,8.741745453412667,-0.010828220113243248,0.040901322188235945
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,60,76937,26162,3.881,7.774629836699032,9.929588236936755,0.5565714892165684,0.05156078184171033,6.42054039741088,10.59505284277591,16.659913504039423,9.978811278422622,8.741136525429129,-0.008608476606871918,0.043121065694607275
pre_lineup_compact_40_plus_matchup,hist_gradient_boosting,45,76937,26162,3.012,7.779498708949849,9.941290278530136,0.5555257104011592,0.028313395240101444,6.415521529418198,10.585109209287868,16.624855530885217,9.966508162323132,8.747156870487641,-0.003739604356054471,0.04798993794542472
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,76937,26162,3.565,7.781769330266231,9.947804761804573,0.5549429954908913,0.0459036357954364,6.415698066076466,10.5734167747049,16.713693174834027,10.008259559866486,8.757449555485609,-0.0014689830396727999,0.05026055926180639
pre_lineup_compact_40,hist_gradient_boosting,40,76937,26162,3.263,7.783238313305904,9.948584341220883,0.554873237210928,0.03628317174215598,6.432806886551582,10.591078044832637,16.67302975543705,9.993110124651029,8.760730374990192,0.0,0.05172954230147919
pre_lineup_compact_40_plus_all_candidates,ridge,60,76937,26162,0.944,7.790148117469203,9.94474812145606,0.5552164568684634,-0.1035169972201107,6.426625993957407,10.489009482406127,16.427584405163017,9.860668980386853,8.705345855014757,0.006909804163298894,0.058639346464778086
pre_lineup_compact_40_plus_role,ridge,45,76937,26162,0.653,7.791164505069811,9.94536220731059,0.5551615246144037,-0.13519995584594555,6.4363511304274414,10.463645553074791,16.390222009503557,9.845022728335492,8.70051896140509,0.007926191763907298,0.05965573406538649
pre_lineup_compact_40_plus_scoring,ridge,45,76937,26162,0.688,7.800043277813897,9.954067511352719,0.5543824380609528,-0.1476578925483535,6.4597815223117125,10.495083059607467,16.48163945035478,9.86561683836908,8.704803483232062,0.01680496450799307,0.06853450680947226
pre_lineup_compact_40_plus_matchup,ridge,45,76937,26162,0.641,7.800468521840344,9.955048124958806,0.5542946347246631,-0.12166947551081257,6.436462331801722,10.514619390910095,16.50597298226776,9.879347174741728,8.707093937945126,0.017230208534440017,0.06895975083591921
pre_lineup_compact_40,ridge,40,76937,26162,0.567,7.801773595516416,9.955278096362422,0.5542740420221297,-0.14982307564720804,6.454570741092796,10.495213584700103,16.480568637727778,9.866664555249555,8.70497106183143,0.018535282210511816,0.07026482451199101
pre_lineup_compact_40_plus_ceiling,ridge,45,76937,26162,0.655,7.804863087760649,9.955996845285219,0.5542096788543951,-0.15614715737052634,6.474772540090402,10.49336586939058,16.47739243639059,9.864654357439049,8.706864360769327,0.021624774454744866,0.07335431675622406
